Vict Sex,Vict Descent,DATE OCC,AREA NAME,Vict Age,Vict Descent Desc,Vict Sex Desc,AREA RENT
2.0,3,2021-06-17,Pacific,49.0,White,Female,551.25
0.0,4,2022-11-25,Pacific,39.5674100496031,Unknown,Unknown,551.25
1.0,2,2022-02-08,West Valley,27.0,Other,Male,814.45
1.0,2,2020-11-28,N Hollywood,39.5674100496031,Other,Male,670.05
2.0,0,2021-04-30,77th Street,39.0,Black,Female,500.0
0.0,4,2022-07-27,Mission,39.5674100496031,Unknown,Unknown,1091.44
1.0,0,2020-04-21,Topanga,35.0,Black,Male,1203.31
2.0,0,2021-02-26,Wilshire,45.0,Black,Female,738.73
2.0,1,2022-10-01,Devonshire,37.0,Hispanic/Latin/Mexican,Female,1146.01
2.0,2,2020-04-03,Foothill,36.0,Other,Female,1326.65
2.0,0,2020-01-01,Rampart,28.0,Black,Female,775.66
1.0,3,2021-12-22,West Valley,57.0,White,Male,814.45
0.0,4,2022-12-22,West Valley,39.5674100496031,Unknown,Unknown,814.45
0.0,4,2020-12-10,West LA,39.5674100496031,Unknown,Unknown,1039.46
0.0,4,2021-09-08,Van Nuys,39.5674100496031,Unknown,Unknown,942.82
2.0,0,2022-10-29,77th Street,30.0,Black,Female,500.0
0.0,4,2020-04-16,Olympic,39.5674100496031,Unknown,Unknown,897.93
0.0,4,2022-10-22,Hollywood,39.5674100496031,Unknown,Unknown,578.81
1.0,1,2021-04-11,Central,41.0,Hispanic/Latin/Mexican,Male,525.0
1.0,1,2021-07-31,Van Nuys,52.0,Hispanic/Latin/Mexican,Male,942.82
2.0,1,2022-10-01,Newton,41.0,Hispanic/Latin/Mexican,Female,638.14
0.0,4,2021-05-22,Wilshire,39.5674100496031,Unknown,Unknown,738.73
1.0,1,2022-08-16,Olympic,58.0,Hispanic/Latin/Mexican,Male,897.93
0.0,4,2022-10-17,Wilshire,39.5674100496031,Unknown,Unknown,738.73
0.0,4,2021-07-09,Pacific,39.5674100496031,Unknown,Unknown,551.25
2.0,0,2021-09-17,Pacific,20.0,Black,Female,551.25
1.0,4,2020-03-16,Topanga,38.0,Unknown,Male,1203.31
2.0,1,2020-07-02,Devonshire,42.0,Hispanic/Latin/Mexican,Female,1146.01
1.0,3,2020-08-07,Wilshire,73.0,White,Male,738.73
